code1,code2
E40,J67
J43,M25
G60,Q66
B81,Q27
H69,I77
D07,I45
K83,T67
R00,R31
H61,I21
S37,Y52
J18,R47
E20,J41
B30,J44
A39,H66
F50,K83
H27,H33
D45,D68
F39,R21
H31,H54
A00,F20
C38,N45
E07,K56
H57,J44
E03,R13
I21,I77
R55,T79
K00,K02
M20,M54
G81,L21
G51,J98
D50,N92
F34,J15
Q04,R27
C46,K14
B02,Y89
K31,M05
B96,T90
D38,J69
A64,D07
I65,Q28
E31,J69
I80,J12
H21,Q15
C18,T66
D75,K40
G52,G56
L22,L89
D47,Q61
L94,Y85
G47,J44
L08,Q06
C51,N60
M41,S10
C24,R17
G21,Q75
H60,H61
C80,O87
J46,L56
C30,K13
J18,K14
D73,K29
E14,M76
K44,K80
D51,K20
I40,J98
I05,P05
G83,L03
L20,L60
C79,N80
H13,L67
D42,I77
D61,G95
A41,K12
C17,D75
D00,R07
B94,E87
D69,S90
D50,Q74
D47,K56
E56,I12
I82,R40
E54,E63
C55,L08
B27,N28
I37,I71
J96,R60
I47,J02
D69,R59
D52,N30
G50,R03
E63,G70
B26,C74
C55,R11
C74,R53
A79,J41
E28,L25
G54,H92
I30,M33
L89,M70
I83,M10
D01,K76
C74,C77
A41,R44
G70,I27
A04,R82
C13,G52
G41,L66
H80,S34
D72,R32
B37,J21
T58,T59
D84,M05
K76,M62
G51,M06
M61,S30
I10,N83
L84,M23
D64,L53
H65,N30
E86,F06
D52,G93
I25,L53
N32,N73
F45,N89
I83,Q98
J39,K27
C09,E63
N32,R57
B37,Q31
E40,I12
F34,H81
D72,I82
J85,R13
F07,Q78
N32,N95
F03,J60
C79,M95
F07,T79
C19,T85
H74,J34
G57,M31
J47,S72
B27,E03
J31,M13
K85,R82
C67,R30
G35,S70
M60,R79
D36,G51
A79,R21
H02,I05
E67,J43
K50,M79
L13,L27
J41,T69
I11,M30
C56,K76
C90,Y36
E05,S82
D86,M89
E80,L40
N60,R07
L43,L90
E40,K66
H02,L60
K90,M79
E83,F42
K03,R54
G63,K04
E83,N27
A59,M41
K56,T79
I85,M31
J38,K11
C43,N39
L83,R63
E53,K59
M85,R11
M61,M65
E75,N39
I07,R44
E16,I67
A53,J13
D72,I77
J96,K21
D61,F50
L94,M95
D86,N60
H10,I21
M81,S00
C79,C91
C31,D10
E86,K44
J14,R23
E55,R09
C77,J70
B00,N89
D33,F33
A22,E87
H54,T18
N73,Q60
K62,S10
C88,K59
I77,M31
G04,Q84
C17,K66
I10,R32
G71,I50
