umls	mesh	icd10	level_2_icd10
C0020441	D006936	K03.4	K03
C0085096	D016491	I73.9	I73
C0032797	D006473	O72	O72
C2350621	D008271	B47.0	B47
C0008925	D002972	Q35|Q35.9	Q35
C0014852	D004935	K22.9	K22
C0023348	D015440	A30.5	A30
C0006060	D001907	A77.1	A77
C0016508	D005532	Q66|Q66.9	Q66
C0038160	D013203	A49.0	A49
C0039621	D013746	R29.0	R29
C0022650	D007669	N20.0	N20
C0271375	D020432	H49.1	H49
C0032463	D011087	D45	D45
C0026603	D009041	T75.3	T75
C0042850	D014804	E53.9	E53
C0392661	D002590	B71.1	B71
C0038450	D012135	R06.1	R06
C0004698	D001449	N15.0	N15
C0025294	D008585	A39.0	A39
C0035238	D015619	Q30-Q34.9|Q34.9	Q30-Q34|Q34
C0473508	D006473	O72.2	O72
C0043102	D014895	A27.0	A27
C0152150	D059285	O30.0	O30
C0001957	D000430	F10.4	F10
C0025048	D008471	P24.0	P24
C0037054	D012805	D57.3	D57
C0019364	D006563	B02.3	B02
C0026948	D009182	C84.0	C84
C0020480	D006953	E78.1	E78
C0019623	D006647|D054747	C96.1	C96
C0037278	D012874	L00-L08.9	L00-L08
C0920350	D013967	E06.3	E06
C0012236	D004062	D82.1	D82
C0029888	D010035	H66|H66.4	H66
C0030246	D011565	L40.3	L40
C1260873	D000082862	I35.9	I35
C0496899	D001932	D33.2	D33
C0038019	D013128|D055009	M47|M47.9	M47
C0001849	D015526	F02.4	F02
C0025281	D008575	H81.0	H81
C0153065	D020242	A83.2	A83
C0020524	D006970	G47.1	G47
C0010598	D003527	F34.0	F34
C0153064	D020241	A83.1	A83
C0033860	D011565	L40|L40.9	L40
C0494410	D020178	F51.2	F51
C0041952	D053039	N20.1	N20
C0003028	D007007	L74.4	L74
C0036114	D012478	A02.0	A02
C0042025	D014550	N39.3	N39
C0005779	D001778	D68.9	D68
C0029226	D006212	F06.0	F06
C0040457	D014096	K00.1	K00
C0019348	D006561	B00	B00
C0024305	D008228	C83.1|C85.9	C83|C85
C0161744	D001469	T70.0	T70
C0162566	D017119	E80.1	E80
C0348375	D008577	C70|C70.9	C70
C0014742	D004892	L51|L51.9	L51
C0029401	D010001	M88|M88.9	M88
C0037383	D012912	R06.7	R06
C0032460	D011085	E28.2	E28
C0040558	D014123	B58|B58.9	B58
C0347536	D006259	S00|S00.9	S00
C0016655	D000069076	T02.9	T02
C0019112	D006484	I84	I84
C0040517	D005879	F95.2	F95
C1135812	D031222	S83.0	S83
C0007570	D002446	K90.0	K90
C0030424	D010237	B66.4	B66
C4316895	D000707	T78.2	T78
C0410220	D000081030	G72.0	G72
C0020473	D006949	E78.5	E78
C0007795	D002549	G37.0	G37
C0032002	D010900	E23.7	E23
C0030328	D010201	M35.6	M35
C0033893	D018781	G44.2	G44
C0040997	D014277	G50.0	G50
C0029106	D009889	B66.0	B66
C0012561	D004169	B70.0	B70
C0036220	D012514	C46|C46.9	C46
C1384589	D000084002	B35.6	B35
C0024535	D016778	B50|B50.9	B50
C0004623	D001424	A49|A49.9	A49
C0034686	D011906	A25|A25.9	A25
C0034067	D011656	J43|J43.9	J43
C2937421	D011470	N40	N40
C0008513	D002825	H30|H30.9	H30
C0431691	D000075529	Q60.3	Q60
C0001231	D000182	E24.3	E24
C0149922	D009450	L28.0	L28
C0017979	D006029	R81	R81
C0011860	D003924	E11	E11
C0014089	D004688	F98.1	F98
C0040259	D014008	B35.3	B35
C0038525	D013345	I60|I60.9	I60
C0011127	D003668	L89	L89
C0019681	D006677	F60.4	F60
C0019937	D006732	G90.2	G90
C0396051	D007829	Q31.1	Q31
C0034063	D011654	J81	J81
C0751552	D013953	C37	C37
C0039980	D013898	S20-S29.9|S29.9	S20-S29|S29
C0149793	D020757	G45.3	G45
C0242381	D008193	M01.2	M01
C0023343	D007918	A30|A30.9	A30
C0086227	D017229	B80	B80
C0027962	D009508	D22|D22.9	D22
C0003860	D001167	I77.6	I77
C0242387	D008342	Q75.4	Q75
C0014054	D004675	A84.1	A84
C0020594	D020018	F52.0	F52
C0302363	D002007	A23.1	A23
C0080178	D016135	Q05|Q05.9	Q05
C0027932	D009497	F48.9	F48
C0000786	D000022	O03	O03
C0266929	D055113	K05.3	K05
C0032300	D011014	J18.1	J18
C0041472	D014437	A75.2	A75
C0018674	D006259	S00-S09.9|S09.9	S00-S09|S09
C0029443	D010019	M86|M86.9	M86
C0029878	D010032	H60|H60.9	H60
C0153340	D008048	C00|C00.9	C00
C0023461	D007946	C94.3	C94
C0032326	D011030	J93|J93.9	J93
C0025292	D008583	G00.0	G00
C0184567	D059787	R52.0	R52
C0161406	D061221	S04.3	S04
C0040028	D013920	D47.3|D75.2	D47|D75
C0008582	D002862	B43.9	B43
C0024140	D008178	L93.1	L93
C0154694	D006429	G81.1	G81
C0376175	D020330	G51.0	G51
C0004096	D001249	J45|J45.9	J45
C0034012	D011628	E30.0	E30
C0263421	D008193	L90.4	L90
C0265316	D020752	Q85.9	Q85
C0338503	D025962	Q04.4	Q04
C0023860	D008088	A32|A32.9	A32
C0003165	D000874|D055008	J60	J60
C0032915	D011226	I45.6	I45
C0029124	D009896	H47.2	H47
C0039231	D013610	R00.0	R00
C0158353	D009220	M60.0	M60
C0031707	D010760	E83.3	E83
C0014130	D004700	E34.9	E34
C0221244	D063807	L21.0	L21
C0015480	D005162	F68.1	F68
C0221263	D019080	L81.3	L81
C0033740	D011528	B50-B64.9|B64	B50-B64|B64
C1956097	D054877	Q93.3	Q93
C0152094	C536288	D81.4	D81
C0026393	D008976	B08.1	B08
C0007099	D002278	D09.9	D09
C0003125	D000856	F50.0	F50
C0156183	D000071056	K62.4	K62
C0162429	D044342	E40-E46.9	E40-E46
C0037929	D013119	T09.3	T09
C0042974	D014842	D68.0	D68
C0027339	D009260	L60|L60.9	L60
C0040188	D013981	F95|F95.9	F95
C0259771	D062685	L72.2	L72
C0035522	D012253	S22.3	S22
C0004943	D001528	M35.2	M35
C0022578	D007640	H18.6	H18
C0000809	D000026	N96	N96
C0015656	D014201	B66.5	B66
C0162279	D000080324	H31.4	H31
C0006542	D002095	J66.0	J66
C0013080	D004314	Q90|Q90.9	Q90
C0004030	D001228	B44|B44.9	B44
C0271680	D003929	G63.2	G63
C0393561	D015140	F01.2	F01
C0029134	D009902	H46	H46
C0085580	D000075222	I10	I10
C0158309	D000070639	M77.0	M77
C0022411	D007594	M24.0	M24
C0161407	D020222	S04.4	S04
C0700251	D020516	G54.0	G54
C0019288	D006550	K41	K41
C0026705	D016532	E76.1	E76
C0162316	D018798	D50|D50.9	D50
C0040436	D014077	K03.2	K03
C0206245	D028227	E85.1	E85
C0020258	D006850	G91.2	G91
C0152101	D018636	Q23.4	Q23
C0018948	D006409	N85.7	N85
C0010035	D003317	H18.5	H18
C0030372	D010217	A93.1	A93
C0006107	D001924	S06.0	S06
C0040332	D014029	F17.2	F17
C0451981	D006259	S07.1	S07
C0014858	D015154	K22.4	K22
C0494463	D000544	F00.1|G30.1	F00|G30
C4551519	D020434	H49.2	H49
C0001080	D000130	Q77.4	Q77
C0149520	D041881	K81.0	K81
C0155223	D003607	H04.0	H04
C0002881	D000745	D58.9	D58
C0085652	D017511	L88	L88
C0155866	C571912	A22.1	A22
C0027804	D009440	F48.0	F48
C0600040	D018856	N30.1	N30
C0034494	D011818	A82|A82.9	A82
C0431664	D003456	Q53.1	Q53
C0035920	D012409	B06	B06
C0030486	D010264	G82.2	G82
C0338650	D002389	F06.1	F06
C0085615	D002037	I45.0	I45
C0085438	D016921	G02.1	G02
C0233795	D020324	R41.1	R41
C0015970	D005335	R50	R50
C0023467	D015470	C92.0	C92
C0162283	D018500	N25.1	N25
C0025222	D008551	K92.1	K92
C0020490	D006956	H52.0	H52
C0206182	D017731	L41.2	L41
C0038013	D013167	M45	M45
C0039437	D014078	K00.7	K00
C0003175	D000881	A22|A22.9	A22
C0023895	D008107	K70-K77.9|K76.9	K70-K77|K76
C0000832	D000037	O45|O45.9	O45
C0242172	D000292	N70-N77.9|N73.9	N70-N77|N73
C0027528	D009332	B76.1	B76
C0043121	D014899	E51.2	E51
C0007124	D002285	D05.1	D05
C0036349	D012563	F20.0	F20
C0024759	D008368	B74.4	B74
C3714542	D008228|D016398	C85.0	C85
C0007820	D002561	I60-I69.9|I67.9	I60-I69|I67
C0451948	D006259	S09.7	S09
C0023646	D008010	L43|L43.9	L43
C0017145	D004932	I86.4	I86
C0024537	D016780	B51	B51
C0155448	D059270	H70.2	H70
C0024902	D059373	N64.4	N64
C0334663	D054747	C96.3	C96
C0037354	D012899	B03	B03
C0017919	D006008	E74.0	E74
C0264395	D019568	J43.0	J43
C0477432	D006849	G91.3	G91
C0162849	D017513	L44.1	L44
C0266015	D004065	Q45.9	Q45
C0032993	D011273	O48	O48
C0034735	D011928	I73.0	I73
C0149504	D020258	G92	G92
C0024796	D008382	Q87.4	Q87
C0018789	D006322	I25.3	I25
C0019065	D006465	K66.1	K66
C0016196	D005409	S22.5	S22
C0027343	D009263	L60.0	L60
C0014591	D004844	R04.0	R04
C1262206	D058745	M76.3	M76
C0017551	D005878	E80.4	E80
C0456065	D052577	P07.0	P07
C0023448	D007945	C91|C91.9	C91
C0031572	D000072861|D010698	F40.1	F40
C0038273	D019956	F98.4	F98
C0035439	D012214	I09.9	I09
C0018934	D006399	N89.7	N89
C0013371	D004405	A03|A03.9	A03
C0032763	D011178	K91.1	K91
C0023364	D007922	A27|A27.9	A27
C0451680	D020243	G46.1	G46
