umls	mesh	icd10	level_2_icd10
C1527340	D014832	R49	R49
C0014060	D004674	A83.3	A83
C0149654	D019955	F91|F91.9	F91
C0003504	D001022	I35.1	I35
C0022734	D007174	F63.2	F63
C0338480	D020326	G43.0	G43
C0014553	D004832	G40.7	G40
C0037997	D013158	D73|D73.9	D73
C0026896	D009157	G70.0	G70
C0020514	D006966	E22.1	E22
C0001339	D010195	K85	K85
C0030636	D010326	A28.0	A28
C0037944	D013130	M48.0	M48
C0085584	D001927	G93.4	G93
C0086692	D009369	D10-D36.9|D36.9	D10-D36|D36
C0023351	D015441	A30.1	A30
C0878544	D009202	I42|I42.9	I42
C0038012	D013166	M46.9	M46
C0008055	D065632	A92.0	A92
C0026635	D009058	R06.5	R06
C0025287	D008580	R29.1	R29
C0005411	D001656	Q44.2	Q44
C1720771	D006848	N43.3	N43
C0003564	D001044	R49.1	R49
C0018378	D020275	G61.0	G61
C0042875	D014811	E56.0	E56
C0041234	D014355	B57	B57
C0015230	D005076	R21	R21
C0236818	D009155	F94.0	F94
C0085109	D016510	H16.4	H16
C0003869	D001170	M00|M00.9	M00
C0007192	D002310	I42.6	I42
C0856761	D006502	I82.0	I82
C0004576	D001404	B60.0	B60
C0004992	D003390	D33.3	D33
C0265780	C562992	Q33.3	Q33
C0265372	C537922	Q86.1	Q86
C0007361	D002372	A28.1	A28
C0019187	D006519	K70.1	K70
C0235660	C537072	N64.3	N64
C0018839	D006359	T67.5	T67
C0029172	D009914	K13.5	K13
C0024117	D029424	J44.9	J44
C0023374	D007926	E79.1	E79
C0085084	D016472	G12.2	G12
C0024301	D008224	C82|C82.9	C82
C0018099	D006073	M10|M10.9	M10
C0036974	D012769	R57.9	R57
C0033774	D011537	L29|L29.9	L29
C0036412	D015422	H15|H15.9	H15
C0020649	D007022	I95|I95.9	I95
C0030326	D015434	M79.3	M79
C0206019	D015526	B22.0	B22
C0205882	D010322	B34.3	B34
C0022660	D007675|D058186	N17|N17.9	N17
C0239849	D017490	Q80.4	Q80
C0024141	D008180	M32|M32.9	M32
C0020545	D006978	I15.0	I15
C0033036	D018880	I49.1	I49
C0085628	D053608	R40.1	R40
C0392548	D000077684|D011128	G83.4	G83
C0276653	D055744	B44.0	B44
C0022672	D007683	N17.0	N17
C0155862	D011018	J13	J13
C0339143	D006111|D049970	H06.2	H06
C0152113	D002819|D020822	I02	I02
C0006413	D002051	C83.7	C83
C0023569	D007979	Q24.1	Q24
C0010266	D003389	G52.9	G52
C0270823	D013226	G41.1	G41
C1384514	D006929	E26.0	E26
C0265374	C536683	Q86.2	Q86
C0035469	D012227	B48.1	B48
C0239946	D008103	K74.0	K74
C0029001	D009855	B73	B73
C0032984	D011269	O00.0	O00
C0024692	D008337	S02.6	S02
C0037023	D012793	K11.2	K11
C0011974	D003963	L22	L22
C0008354	D002771	A00|A00.9	A00
C0002874	D000741	D61.9	D61
C0011813	D003914	Q24.0	Q24
C0029261	D020018	F52.3	F52
C0026946	D009181	B35-B49.9|B49	B35-B49|B49
C0263398	C535509	L95.1	L95
C0001144	D000152	L70.0	L70
C0019294	D006552	K40	K40
C0270742	D002547	G80.3	G80
C0751931	D020428	G57.2	G57
C0023211	D002037	I44.7	I44
C0034960	D012035	G60.1	G60
C0023465	D007948	C93.0	C93
C0024790	D006457	D59.5	D59
C0024623	D013274	C16|C16.9	C16
C0018566	D006228	Q68.1	Q68
C0023484	D007952	C90.1	C90
C0242473	D012005	K62.2	K62
C0161405	D061247	S04.2	S04
C0477611	D055035	M42|M42.9	M42
C0026034	D008865	Q18.5	Q18
C0028242	D009617	A43|A43.9	A43
C0040485	D014103	M43.6	M43
C0023443	D007943	C91.4	C91
C0162275	D007662	R82.4	R82
C0008775	D036841	T61.0	T61
C0085253	D016706	M06.1	M06
C0037933	D013122	M45-M49.9|M48.9	M45-M49|M48
C0004712	D002549	G37.5	G37
C0005424	D001660	K83.9	K83
C0152087	D000070657	M11.9	M11
C0030283	D010181	K86.2	K86
C0085273	D016731	B08.3	B08
C0007193	D002311	I42.0	I42
C0008521	D015862	H31.9	H31
C0156404	D008599	N92.6	N92
C0152151	D059286	O30.1	O30
C0079584	D016112	Q80.0	Q80
C0009677	C531735	Q38.2	Q38
C0027927	D009494	A52.3	A52
C0010054	D003324	I25.1	I25
C0033845	D011559	G93.2	G93
C2939175	D000074270	P75	P75
C0020256	D006849	Q03|Q03.9	Q03
C0038454	D020521	I64	I64
C0036310	D012544	M42.0	M42
C0399352	D000848	K00.0	K00
C0030809	D010392	L10.0	L10
C0042029	D014552	N39.0	N39
C0020758	D017490	Q80|Q80.9	Q80
C0085207	D016640	O24.4	O24
C0011854	D003922	E10	E10
C0002447	D004480	Q73.0	Q73
C0080194	D013180	M62.6	M62
C0750887	D000310	C74|C74.9	C74
C0011209	D036861	O80-O84.9	O80-O84
C0158364	D000070630	M62.0	M62
C0028949	D009839	N91.5	N91
C0003872	D015535	L40.5	L40
C0032308	D011023	J15.2	J15
C0038522	D013344	A81.1	A81
C0032231	D010998	R09.1	R09
C0029182	D009916	H05|H05.9	H05
