umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0011871	250.7	E14.5	250	E14
C0432378	759.2	Q89.2	759	Q89
C0495351	763.5	P04.0	763	P04
C0162423	705.1	L74.0	705	L74
C0154057	230|230.9	D01.9	230	D01
C0154860	362.7|362.70	H35.5	362	H35
C0733940	140.4	C00.4	140	C00
C0021361	628|628.9	N97|N97.9	628	N97
C0152068	122.4	B67.4	122	B67
C0006625	799.4	R64	799	R64
C0158939	770.5	P28.1	770	P28
C0260844	V68.0	Z02.7	V68	Z02
C0162316	280|280.9	D50|D50.9	280	D50
C0033774	698.9	L29|L29.9	698	L29
C0029776	596.8|596.89	N32.8	596	N32
C0332544	783.1	R63.5	783	R63
C0003431	301.7|301.9	F60.2	301	F60
C0030528	002.9	A01.4	002	A01
C0153603	187.6	C63.1	187	C63
C0038012	720.9	M46.9	720	M46
C0035078	586	N17-N19.9|N19	586	N17-N19|N19
C0157344	665	O71	665	O71
C0013390	625.3	N94.6	625	N94
C0410632	722.3|722.30	M51.4	722	M51
C0013240	526.5	K10.3	526	K10
C0040156	242|242.9	E05.9	242	E05
C0348393	208.99	C81-C96.9|C96.9	208	C81-C96|C96
C0153942	211.0	D13.0	211	D13
C0161749	994.4	T73.2	994	T73
C0015944	658.1	O42|O42.9	658	O42
C0009691	743.30	Q12.0	743	Q12
C0434143	878.2	S31.3	878	S31
C0270148	770.83	P28.2	770	P28
C0008350	574	K80	574	K80
C0013473	307.50	F50|F50.9	307	F50
C0153993	218.0	D25.0	218	D25
C0158832	762.4	P02.4	762	P02
C0155405	380.5|380.50	H61.3	380	H61
C0161486	960.0	T36.0	960	T36
C0027932	300.9	F48.9	300	F48
C0016037	728.11	M61.1	728	M61
C0496967	962.3	T38.3	962	T38
C0154148	242.4	E05.3	242	E05
C0348999	134.2	B83.4	134	B83
C0008475	717.7	M22.4	717	M22
C0341858	617.0	N80.0	617	N80
C0477492	695.19	L51.8	695	L51
C0161033	940.5	T26.2	940	T26
C0153589	184.3	C51.2	184	C51
C0155458	384	H73	384	H73
C0270273	779.31	P92.2	779	P92
C0024586	259.2	E34.0	259	E34
C0008325	575.10	K81|K81.9	575	K81
C0158337	727.5|727.50	M66.1	727	M66
C0155563	394.1	I05.1	394	I05
C0152447	788.7	R36	788	R36
C0154733	352.6	G52.7	352	G52
C0152966	038.2	A40.3	038	A40
C0205929	565.1	K60.3	565	K60
C0024508	524.0|524.00	K07.0	524	K07
C0002962	413|413.9	I20|I20.9	413	I20
C0265066	451.11	I80.1	451	I80
C0265098	433.0	I65.1	433	I65
C0157535	671.94	O87|O87.9	671	O87
C0156272	596.1	N32.1	596	N32
C0481232	871.1	Y61.1	871	Y61
C0015634	495.0	J67.0	495	J67
C0260875	V72	Z01.9	V72	Z01
C0153375	145.2	C05.0	145	C05
C0023462	207.2	C94.2	207	C94
C0008297	748.0	Q30.0	748	Q30
C0496750	V45.2	Z98.2	V45	Z98
C0348461	255.3	E27.0	255	E27
C1263846	314|314.01|314.9	F90|F90.9	314	F90
C0009021	121.1	B66.1	121	B66
C0265931	747.49	Q26.1	747	Q26
C0153317	132	B85	132	B85
C0009081	754.51	Q66.0	754	Q66
C0085655	710.4	M33.2	710	M33
C0008681	473.2	J32.2	473	J32
C0015970	780.60	R50	780	R50
C0153633	191|191.9	C71|C71.9	191	C71
C0348801	482.32	J15.3	482	J15
C0153500	164.1	C38.0	164	C38
C0029695	380.2	H60.8	380	H60
C0481354	929.0	Y85.0	929	Y85
C0151731	573.4	K76.3	573	K76
C2830120	V59.6	Z52.6	V59	Z52
C0153425	152.9	C17|C17.9	152	C17
C0015333	926|926.9	W91	926	W91
C0153404	149	C14	149	C14
C0005417	576.4	K83.3	576	K83
C0339308	364.8	H21	364	H21
C0024031	724.2	M54.5	724	M54
C0600427	304.2|304.20	F14.2	304	F14
C0156146	555.0	K50.0	555	K50
C0025048	770.11|770.12	P24.0	770	P24
C0035238	748|748.9	Q30-Q34.9|Q34.9	748	Q30-Q34|Q34
C0343072	704.1	L68.1	704	L68
C0155435	381.8|381.89	H69	381	H69
C0270067	763.8|763.89	P03.8	763	P03
C0162279	363.7|363.70	H31.4	363	H31
C0160690	901.0	S25.0	901	S25
C0085693	540	K35|K35.9	540	K35
C0161001	930|930.9	T15|T15.9	930	T15
C0477784	622.8	N88.8	622	N88
C0022661	585.6|585.9	N18|N18.0|N18.9	585	N18
C0431320	741.02	Q05.1	741	Q05
C0154093	234	D09	234	D09
C0153446	154.3	C21.0	154	C21
C0270186	772.0	P50.0	772	P50
C0025289	322|322.9	G03.9	322	G03
C0275791	004.3	A03.3	004	A03
C0153562	176.2	C46.2	176	C46
C0263924	726.5	M76.0	726	M76
C0477854	641.9	O67.9	641	O67
C0276728	117.1	B42.0	117	B42
C1691215	752.61	Q54.1	752	Q54
C0494165	197.7	C78.7	197	C78
C0023760	528.5	K13.0	528	K13
C0231337	797	R54	797	R54
C0262666	616.4	N76.4	616	N76
C0155410	380.8|380.89	H61	380	H61
C0012714	275.1	E83.0	275	E83
C0481350	879.5	Y84.5	879	Y84
C0155940	524.30	K07.3	524	K07
C0520728	369.70	H54.5	369	H54
C0338591	437.7	G45.4	437	G45
C0029819	623.8	N89.8	623	N89
C0009760	372.72	H11.3	372	H11
C0220977	115.1	B39.5	115	B39
C0728829	754.71	Q66.7	754	Q66
C0155951	525.2	K08.2	525	K08
C2004487	625.1	N94.2	625	N94
C0178285	579.99	K90-K93.9|K92	579	K90-K93|K92
C0154092	233.9	D09.1	233	D09
C0156095	542	K36	542	K36
C0020428	255.1|255.10	E26|E26.9	255	E26
C0574786	584.7	N17.2	584	N17
C0158736	755.12	Q70.0	755	Q70
C0409974	695.4	L93	695	L93
C0009952	780.31|780.32	R56.0	780	R56
C0156543	637	O00-O08.9|O06	637	O00-O08|O06
C4761312	269.9|269.99	E63.9	269	E63
C0348276	122.9	B67.9	122	B67
C0034072	416.9	I27.9	416	I27
C0260822	V65.1	Z71.0	V65	Z71
C0016429	620.0	N83.0	620	N83
C0348759	576.8	K83.8	576	K83
C0311284	272.8	M14.3	272	M14
C0156399	624.8	N90.8	624	N90
C0153492	162.5	C34.3	162	C34
C0481466	V27.3	Z37.3	V27	Z37
C0029456	733.0|733.00	M81.9	733	M81
C0221271	701.1	L87.2	701	L87
C0006849	112.0	B37.0	112	B37
C0261933	948.1	Y58.1	948	Y58
C0154195	252.8	E21.4	252	E21
C0266295	753.0	Q60.5	753	Q60
C0260484	V14.0	Z88.0	V14	Z88
C0154231	264.0	E50.0	264	E50
C0348147	091.8|091.89	A51.4	091	A51
C0152149	625.2	N94.0	625	N94
C0476388	794	R94	794	R94
C0156400	624|624.9	N90.9	624	N90
C0042029	599.0	N39.0	599	N39
C1367972	451|451.9	I80|I80.9	451	I80
C0156351	618.2	N81.2	618	N81
C0155899	507	J69	507	J69
C0456017	770.7	P27|P27.9	770	P27
C0037221	759.3	Q89.3	759	Q89
C0748830	801	S02.1	801	S02
C0157266	662.2	O63.1	662	O63
C0348374	192.9	C72.9	192	C72
C0702166	706.1	L70|L70.9	706	L70
C0155434	381.7	H69.0	381	H69
C0007570	579.0	K90.0	579	K90
C0043388	102|102.9	A66|A66.9	102	A66
C1861783	447.4	I77.4	447	I77
C0153289	122.0	B67.0	122	B67
C0155755	444.81	I74.5	444	I74
C0161734	901.9|991|991.9	T69.9	901|991	T69
C0022610	774.7	P57|P57.9	774	P57
C0161599	972	T46	972	T46
C1455742	381.2|381.20	H65.3	381	H65
C0261863	940.0	Y50.0	940	Y50
C0023892	571.6	K74.5	571	K74
C0153485	161.2	C32.2	161	C32
C0478039	751.8	Q45.8	751	Q45
C0154206	255.6	E27.5	255	E27
C0028962	788.5	R34	788	R34
C0264522	514	J18.2	514	J18
C0085628	780.09	R40.1	780	R40
C0260486	V14.2	Z88.2	V14	Z88
C0035022	087.1	A68.1	087	A68
C0024623	151|151.9	C16|C16.9	151	C16
C0481360	989	Y87.2	989	Y87
C0156153	558.1	K52.0	558	K52
C0152263	733.5	M85.3	733	M85
C0153962	213.3	D16.7	213	D16
C0161723	988.8	T62.8	988	T62
C0266846	521.02	K02.1	521	K02
C0260877	V72.6	Z01.7	V72	Z01
C0155692	422.9|422.99	I40.8	422	I40
C0161577	969|969.9	T43.9	969	T43
C0496765	146.4	C10.1	146	C10
C0553604	359.2	G71.1	359	G71
C0265998	757.5	Q84.3	757	Q84
C0261353	844	V97	844	V97
C0009443	460	J00	460	J00
C1328252	085.5	B55.2	085	B55
C0496662	V24.0	Z39.0	V24	Z39
C0452166	655.4	O35.4	655	O35
C1258666	727.43	M67.4	727	M67
C0149523	595.0	N30.0	595	N30
C0153903	206.8	C93.7	206	C93
C0339951	486	J18	486	J18
C0026654	437.5	I67.5	437	I67
C0153636	191.2	C71.2	191	C71
C0494024	008.09	A04.4	008	A04
C4551691	598|598.9	N35|N35.9	598	N35
C0851311	V65.5	Z71.1	V65	Z71
C0153954	212.3	D14.3	212	D14
C0268701	593.9	N28.9	593	N28
C0158831	762.3	P02.3	762	P02
C0260591	V28.9	Z36|Z36.9	V28	Z36
C0010417	752.51	Q53|Q53.9	752	Q53
C0451833	711.0	M00.0	711	M00
C0339963	114.4	B38.1	114	B38
C0155828	474|474.9	J35|J35.9	474	J35
C0153628	190.3	C69.0	190	C69
C0011346	523.6	K03.6	523	K03
C0155725	433.3	I65.3	433	I65
C0162297	799.1	R09.2	799	R09
C0035086	588.0	N25.0	588	N25
C0013924	444.9	I74.9	444	I74
C0008055	065.4|066.3	A92.0	065|066	A92
C0029571	333.0	G23	333	G23
C0160932	923.0	S40.0	923	S40
C0029119	118	B48.7	118	B48
C0008340	751.69	Q44.4	751	Q44
C0154298	285.1	D62	285	D62
C0026769	340	G35	340	G35
C0477961	778.8	P83.8	778	P83
C0157379	665.8	O71.8	665	O71
C0260748	V53.2	Z46.1	V53	Z46
C0161635	975.5	T48.4	975	T48
C0476454	796.3	R03.1	796	R03
C0260437	V10.6	Z85.6	V10	Z85
C0178249	165.8|165.99	C30-C39.9	165	C30-C39
C0021614	798.1	R96.0	798	R96
C0495524	747.6	Q27.3	747	Q27
C0154270	278.1	E65	278	E65
C0008311	576.1	K83.0	576	K83
C0153585	184	C57	184	C57
C0476555	V05.3	Z24.6	V05	Z24
C0157465	669.4	O75.4	669	O75
C0004604	724.5	M54|M54.9	724	M54
C0260688	V44.6	Z93.6	V44	Z93
C0152090	720.1	M46.0	720	M46
C0014054	063.2	A84.1	063	A84
C0025287	781.6	R29.1	781	R29
C0027343	703.0	L60.0	703	L60
C0265122	423.9	I31.9	423	I31
C0260397	V07.0	Z29.0	V07	Z29
C0152486	003.1	A02.1	003	A02
C0496775	150.2	C15.2	150	C15
C0476658	V58.1	Z51.1	V58	Z51
C0393745	339.22	G44.3	339	G44
C0161519	963.0	T45.0	963	T45
C3542020	780.65	R68.0	780	R68
C0496615	V03.7	Z23.5	V03	Z23
C1306848	072.9	B26.9	072	B26
C0343312	771.3	A33	771	A33
C0877792	327.3	G47.2	327	G47
C2937421	600|600.9|600.90	N40	600	N40
C0019101	078.6	A98.5	078	A98
C0155358	379.1|379.19	H15.8	379	H15
C0020635	253.2	E23.0	253	E23
C0270187	772.0	P50.2	772	P50
C0011813	746.87	Q24.0	746	Q24
C0154070	231.1	D02.1	231	D02
C0399352	520.0	K00.0	520	K00
C0348879	404.92	I13.1	404	I13
C0438413	194.6	C75.5	194	C75
C0472692	457.0	I97.2	457	I97
C0037315	780.57	G47.3	780	G47
C0152422	743.35	Q12.3	743	Q12
C0010273	756.0	Q75.1	756	Q75
C0017168	530.81	K21	530	K21
C0451998	692.76	L55.1	692	L55
C0015652	121.3	B66.3	121	B66
C0271166	366.16	H25.1	366	H25
C0260518	V17.1	Z82.3	V17	Z82
C1313896	V27.1	Z37.1	V27	Z37
C0154192	251.8	E16.8	251	E16
C0152152	651.2	O30.2	651	O30
C0020534	376.41|756.0	Q75.2	376|756	Q75
C0158731	754.82	Q67.7	754	Q67
C0158317	726.64	M76.5	726	M76
C0481671	V27.7	Z37.7	V27	Z37
C0728864	160.0	C30.0	160	C30
C0271234	369.20	H54.2	369	H54
C0339440	361.8|361.89	H33.5	361	H33
C0085669	208.0	C95.0	208	C95
C0178350	845.9	V95-V97.9	845	V95-V97
C1533672	942	Y52	942	Y52
C0311376	027.9|027.99	A28.9	027	A28
C0154028	224.6	D31.3	224	D31
C0155398	380.21	H60.4	380	H60
C3495413	868	S36.8	868	S36
C3887666	254.0	E32.0	254	E32
C0079541	742.2	Q04.2	742	Q04
C0035597	083.2	A79.1	083	A79
C0242473	569.1	K62.2	569	K62
C0005686	596.9	N32.9	596	N32
C0157536	672|672.0	O86.4	672	O86
C0153244	103.3	A67.3	103	A67
C0020179	333.4	G10	333	G10
C0154212	256.8	E28.8	256	E28
C0037320	307.46	F51.4	307	F51
C0153579	183.2	C57.0	183	C57
C0477876	647.6	O98.5	647	O98
C0041300	017	A18	017	A18
C0275976	002	A01	002	A01
C0161517	962.9	T38.8	962	T38
C0042900	709.01	L80	709	L80
C0156320	611	N64	611	N64
C0012555	032.85	A36.3	032	A36
C0158971	774.2	P59.0	774	P59
C0020256	742.3	Q03|Q03.9	742	Q03
C0494620	444.21	I74.2	444	I74
C0039131	090|090.9	A50|A50.9	090	A50
C0600327	040.82	A48.3	040	A48
C0004106	367.2|367.20	H52.2	367	H52
C0851329	948.3	Y58.3	948	Y58
C0311375	985.1	T57.0	985	T57
C0496029	941.0	T20.0	941	T20
C0478024	750.1|750.19	Q38.3	750	Q38
C0030193	338.99|780.96	R52.9	338|780	R52
C1527336	710.2	M35.0	710	M35
C0264765	394	I05|I05.9	394	I05
C0157541	673.0	O88.0	673	O88
C0156346	617.4	N80.4	617	N80
C0029872	379.24	H43.3	379	H43
C0153022	053.1|053.19	B02.2	053	B02
C0276009	102.5	A66.5	102	A66
C0269995	676.6|676.60	O92.6	676	O92
C0395986	473.8	J32.8	473	J32
C2004521	281.1	D51|D51.9	281	D51
C0266002	757.5	Q84.5	757	Q84
C0007115	193	C73	193	C73
C0153937	210.6	D10.5	210	D10
C0260421	V10.3	Z85.3	V10	Z85
C0155825	472.1	J31.2	472	J31
C0040451	521.4	K03.3	521	K03
C0269131	619.9	N82.9	619	N82
C1318552	432.0	I62.1	432	I62
C0014511	706.2	L72.0	706	L72
C0153418	151.1	C16.4	151	C16
C0156631	641.3|641.33	O46.0	641	O46
C0155973	531.2	K25.2	531	K25
C0154034	225.3	D33.4	225	D33
C0269863	664.0	O70.0	664	O70
C0178266	349.99	G96	349	G96
C0031142	568.9	K65-K67.9|K66.9	568	K65-K67|K66
C0005716	116|116.0	B40|B40.9	116	B40
C1321831	V46.1	Z99.1	V46	Z99
C0343375	002.1	A01.1	002	A01
C0264133	734	M21.4	734	M21
C0011603	692.9	L30.9	692	L30
C0020538	405.99|997.91	I10-I15.9	405|997	I10-I15
C0348621	426.1	I44.3	426	I44
C0263298	692.89	L25.2	692	L25
C0161504	961.7	T37.5	961	T37
C0154816	361.1	H33.1	361	H33
C0155804	461.0	J01.0	461	J01
C0152271	204.2	C91.2	204	C91
C0348597	420.99	I30.8	420	I30
C0162576	127.1	B81.0	127	B81
C0154289	281.1	D51.8	281	D51
C0152171	416.0	I27.0	416	I27
C0033936	291.9	F10.5	291	F10
C0156393	624.1	N90.5	624	N90
C0266131	750.4	Q39.5	750	Q39
C0160963	926.0	S38.0	926	S38
C0020649	458|458.9	I95|I95.9	458	I95
C0269859	664.4|664.41	O70|O70.9	664	O70
C0474962	140.0	C00.0	140	C00
C0740203	V55|V55.9	Z43|Z43.9	V55	Z43
C0018099	274|274.9	M10|M10.9	274	M10
C0023524	046.3	A81.2	046	A81
C0156677	642.63	O15.0	642	O15
C0276001	102.3	A66.3	102	A66
C0001122	276.2	E87.2	276	E87
C0036262	133.0	B86	133	B86
C0153691	198.7	C79.7	198	C79
C0003123	783.0	R63.0	783	R63
C0413000	987	T59	987	T59
C1263961	251.9	E16.9	251	E16
C0155707	426.54	I45.3	426	I45
C0153372	145	C06	145	C06
C0162539	279.03	D80.3	279	D80
C0700172	V04.6	Z25.0	V04	Z25
C0265992	757.4	Q84.0	757	Q84
C0085696	601.1	N41.1	601	N41
C0016167	565.0|569.43	K60.2	565|569	K60
C0004045	768.9	P21|P21.9	768	P21
C0015480	300.19	F68.1	300	F68
C0270217	774.4	P59.1	774	P59
C0041322	017.3|017.30	A18.5	017	A18
C0153637	191.3	C71.3	191	C71
C0161840	999.4	T80.5	999	T80
C0013609	782.3	R60.0	782	R60
C0008512	363.3|363.30	H31.0	363	H31
C0149524	601.0	N41.0	601	N41
C0178281	539.99	K20-K31.9	539	K20-K31
C2720437	832	S53.1	832	S53
C0160708	902.2|902.20	S35.2	902	S35
C0037061	503	J63.4	503	J63
C0153340	140	C00|C00.9	140	C00
C0024530	084|084.6	B54	084	B54
C0154413	296.34	F33.3	296	F33
C0155888	495.4	J67.4	495	J67
C0396053	478.5	J38.2	478	J38
C0494741	537.9	K31.9	537	K31
C4551862	333.0	G23.1	333	G23
C0152503	006.5	A06.6	006	A06
C0264865	424.9|424.90	I38	424	I38
C0009090	315.35	F98.6	315	F98
C1313935	V59.4	Z52.4	V59	Z52
C0005689	753.5	Q64.1	753	Q64
C0260686	V44.4	Z93.4	V44	Z93
C0010314	758.31	Q93.4	758	Q93
C0158511	738.1	M95.2	738	M95
C0236826	315.31	F80.1	315	F80
C0155440	382.1	H66.1	382	H66
C0154200	254.1	E32.1	254	E32
C0036329	120.2	B65.2	120	B65
C0043194	279.12	D82.0	279	D82
C1260873	395|424.1	I35.9	395|424	I35
C0478263	867	S37.8|S37.9	867	S37
C0497083	872.6	Y62.5	872	Y62
C0276665	116.1	B41.0	116	B41
C0020441	521.5	K03.4	521	K03
C0153064	062.1	A83.1	062	A83
C0558995	097	A53	097	A53
C0149517	474.00	J35.0	474	J35
C0266592	744.0|744.00	Q16|Q16.9	744	Q16
C0339959	483.1	J16.0	483	J16
C0004681	495.1	J67.1	495	J67
C0275590	005.2	A05.2	005	A05
C0472702	285	D64	285	D64
C0221244	690.11	L21.0	690	L21
C0085614	426.11	I44.0	426	I44
C0149525	602.0	N42.0	602	N42
C0157726	700	L84	700	L84
C0010380	464.4	J05.0	464	J05
C0161558	967.0	T42.3	967	T42
C0161021	937	T18.5	937	T18
C0729205	634.91	O03.4	634	O03
C0009759	372|372.9	H10-H13.9|H11.9	372	H10-H13|H11
C0346156	217	D24	217	D24
C0434691	837	S93.0	837	S93
C1290810	070.1	B15.9	070	B15
C0040128	246.9|246.99	E00-E07.9|E07.9	246	E00-E07|E07
C0149910	719.3	M12.4	719	M12
C0155918	518.2	J98.3	518	J98
C0005937	733.2|733.20|733.21	M85.4	733	M85
C0153413	150.3	C15.3	150	C15
C0151467	255.41	E27.2	255	E27
C0158725	754.59	Q66.3	754	Q66
C0238460	242.8	E05.4	242	E05
C0032002	253.9	E23.7	253	E23
C0029454	756.52	Q78.2	756	Q78
C0156275	596.6	N32.4	596	N32
C0153651	194|194.8	C75	194	C75
C0027080	791.3	R82.1	791	R82
C0002453	626.0	N91.2	626	N91
C0034212	686.0|686.00	L08.0	686	L08
C0029496	286.9	D68	286	D68
C1260913	711.0	M00.1	711	M00
C0155465	384.22	H72.1	384	H72
C0017919	271.0	E74.0	271	E74
C0700173	V04.2	Z24.4	V04	Z24
C0020490	367.0	H52.0	367	H52
C0029770	521.8|521.89	K03.8	521	K03
C0155749	444	I74	444	I74
C0269808	659.1	O61.0	659	O61
C0271008	360.5|360.50	H44.6	360	H44
C0011302	341.9	G35-G37.9|G37.9	341	G35-G37|G37
C0152264	289.6	D75.0	289	D75
C0156321	611.3	N64.1	611	N64
C0001261	039|039.9	A42|A42.9	039	A42
C0158505	737.34	M41.3	737	M41
C0029590	379.39	H27	379	H27
C0161602	972.2	T46.6	972	T46
C0268733	580.9	N00|N00.9	580	N00
C0338480	346.1	G43.0	346	G43
C1112533	172.6	C43.6	172	C43
C0022972	358.3|358.30	G73.1	358	G73
C0266474	742.3	Q03.0	742	Q03
C0086543	366|366.9	H26.9	366	H26
C0995154	338	R52	338	R52
C0013295	532	K26	532	K26
C0009324	556|556.9	K51|K51.9	556	K51
C0261752	928.0	X52	928	X52
C0154011	222.4	D29.4	222	D29
C0275804	034.0	J03.0	034	J03
C0341089	564.89	K59	564	K59
C0036091	527.5	K11.5	527	K11
C0158408	730.7|730.70	M89.6	730	M89
C0038449	447.1	I77.1	447	I77
C0014852	530|530.9	K22.9	530	K22
C0348904	099.53	A56.0	099	A56
C0475601	779.2	P91.0	779	P91
C0153614	188.6	C67.6	188	C67
C0029434	756.51	Q78.0	756	Q78
C0002438	006|006.9	A06|A06.9	006	A06
C0013371	004|004.9	A03|A03.9	004	A03
C0041318	013.0|013.00	A17.0	013	A17
C0008149	079.98	A74.9	079	A74
C0151583	792.0	R83|R83.9	792	R83
C0041321	018|018.9|018.90	A19|A19.9	018	A19
C0152268	201.5	C81.1	201	C81
C0158816	761|761.9	P01|P01.9	761	P01
C0155668	412	I25.2	412	I25
C0019348	054	B00	054	B00
C0152167	564.6	K59.4	564	K59
C0156215	575.4	K82.2	575	K82
C0155836	476.0	J37.0	476	J37
C0043144	786.07	R06.2	786	R06
C0160680	900.0|900.00	S15.0	900	S15
C0159012	778.3	P80.8	778	P80
C0030286	577|577.9	K86.9	577	K86
C0155601	404.9	I13|I13.9	404	I13
C0495263	660.7	O66.5	660	O66
C0161685	981	T52.0	981	T52
C0411063	767.4	P11.5	767	P11
C0019065	568.81	K66.1	568	K66
C0496921	236.1	D39.2	236	D39
C0030517	252|252.9	E21.5	252	E21
C0270159	770.2	P25.1	770	P25
C2979888	082.3	A77.3	082	A77
C0265057	451.0	I80.0	451	I80
C0269194	622.2	N88.0	622	N88
C0302889	752.51	Q53.0	752	Q53
C0152234	740.2	Q00.2	740	Q00
C0154730	352	G52	352	G52
C0362085	V72.7	Z01.5	V72	Z01
C0155503	386.2	H81.4	386	H81
C0007847	180|180.9	C53|C53.9	180	C53
C0159040	782.8	R23.4	782	R23
C0490010	756.79	Q79.5	756	Q79
C0348774	V69.8	Z72.8	V69	Z72
C2939130	040|041.99	A30-A49.9|A49.8	040|041	A30-A49|A49
C0152793	016.1|016.10	N33.0	016	N33
C0156098	543|543.9	K38	543	K38
C0260764	V55.4	Z43.4	V55	Z43
C0276156	480.0	J12.0	480	J12
C0022783	624.09	N90.4	624	N90
C0273483	951.9	S04|S04.9	951	S04
C0155784	455.4	I84.3	455	I84
C0478008	747.8|747.89	Q28.8	747	Q28
C1384584	715.0|715.09	M15.0	715	M15
C0007100	234.8	D09.7	234	D09
C0022806	260	E40	260	E40
C0038814	692.71	L55|L55.9	692	L55
C0496956	238.3	D48.6	238	D48
C0158499	737.12	M96.3	737	M96
C0851314	932.8	Y42.2	932	Y42
C0008701	307.22	F95.1	307	F95
C0014089	307.7	F98.1	307	F98
C4551629	754.62	Q66.4	754	Q66
C0015934	764.9|764.90	P05.9	764	P05
C0153939	210.8	D10.7	210	D10
C0007462	355.9	G56.4	355	G56
C0161610	973	T47	973	T47
C0266231	751.5	Q43.5	751	Q43
C0016807	564.9	K59.9	564	K59
C0521515	727.82	M65.2	727	M65
C0432520	140.1	C00.1	140	C00
C0260821	V65.0	Z76.3	V65	Z76
C0085409	258.1	E31.0	258	E31
C0003860	447.6	I77.6	447	I77
C0023434	204.1	C91.1	204	C91
C0152941	021.0	A21.0	021	A21
C0412994	985.5	T56.3	985	T56
C0154742	354.1	G56.1	354	G56
C0264694	414.8|414.9	I25|I25.9	414	I25
C0031575	755.4	Q73.1	755	Q73
C0411175	760.9	P00.9	760	P00
C0260510	V16.4|V16.40	Z80.4	V16	Z80
C0153461	157.3	C25.3	157	C25
C0153514	170.4	C40.0	170	C40
C0016196	807.4	S22.5	807	S22
C0155223	375.0|375.00	H04.0	375	H04
C0156287	599.5	N36.3	599	N36
C0348296	139.99	B90-B94.9	139	B90-B94
C0153975	215.2	D21.1	215	D21
C0269211	623.2	N99.2	623	N99
C0156216	575.5	K82.3	575	K82
C0260538	V19.2	Z82.2	V19	Z82
C0004044	799.01	R09.0|T71	799	R09|T71
C0029822	443.8	I73.8	443	I73
C0161371	948.8	T31.8	948	T31
C0156353	618.4	N81.4	618	N81
C0178244	104.99	A65-A69.9	104	A65-A69
C0027121	359.79	M60|M60.9	359	M60
C0035400	331.81	G93.7	331	G93
C0042266	306.51	F52.5	306	F52
C0343161	717.6	M23.4	717	M23
C0261937	948.5	Y58.5	948	Y58
C0156301	604.0	N45.0	604	N45
C0152154	662|662.1	O63|O63.9	662	O63
C0349370	095.7	M73.1	095	M73
C0010054	414.0	I25.1	414	I25
C0343834	102.6	A66.6	102	A66
C0043541	117.7	B46|B46.9	117	B46
C0392483	520.6	K01.0	520	K01
C0267389	556.1	K51.1	556	K51
C0155681	420.91	I30.0	420	I30
C0019112	455|455.6	I84	455	I84
C2239176	155.0	C22.0	155	C22
C0851324	936.2	Y46.0	936	Y46
C0261806	934.2	Y44.2	934	Y44
C0040592	076|076.9	A71|A71.9	076	A71
C0477838	661.2|661.20	O62.2	661	O62
C0015310	378.1|378.10	H50.1	378	H50
C0342115	241.0	E04.1	241	E04
C0013680	994.3	T73.1	994	T73
C0152108	495.3	J67.3	495	J67
C0157345	665.0	O71.0	665	O71
C0221520	295.0|295.00	F20.6	295	F20
C0152177	350|350.9	G50|G50.9	350	G50
C0343156	718.8	M25.2	718	M25
C0153414	150.4	C15.4	150	C15
C0155933	522	K04	522	K04
C0481246	873.0	Y63.0	873	Y63
C0036133	614.2	N70|N70.9	614	N70
C1320640	362.6|362.60	H35.4	362	H35
C0157152	658.3	O75.5	658	O75
C0153112	078.7	A96|A96.9	078	A96
C0160701	901.83	S25.7	901	S25
C0027927	094|094.9	A52.3	094	A52
C0019569	751.3	Q43.1	751	Q43
C0156054	534.4	K28.4	534	K28
C0152150	651.0	O30.0	651	O30
C0494831	691.8	L20.8	691	L20
C0154223	259	E34	259	E34
C0013923	444.0	I74.0	444	I74
C0274908	989.6	T55	989	T55
C0270204	773.4	P57.0	773	P57
C0024788	078.89	A98.3	078	A98
C0155689	422.91	I40.1	422	I40
C0412991	985.2	T57.2	985	T57
C0339320	364.23	H20.2	364	H20
C0161480	958	T79-T79.9	958	T79
C0152113	392	I02	392	I02
C0553570	454.0	I83.0	454	I83
C0473789	772.3	P51|P51.9	772	P51
C0151517	426.0	I44.2	426	I44
C0153953	212.2	D14.2	212	D14
C0158535	741.91	Q05.5	741	Q05
C0155902	508.0	J70.0	508	J70
C0156550	637.11	O06.1	637	O06
C0005604	767|767.9	P10-P15.9|P15.9	767	P10-P15|P15
C0022660	584|584.9	N17|N17.9	584	N17
C0153995	218.2	D25.2	218	D25
C0155938	524	K07	524	K07
C0155982	531.5	K25.5	531	K25
C4551722	742.0	Q01|Q01.9	742	Q01
C0261793	932.9	Y42.8	932	Y42
C0496897	224|224.9	D31.9	224	D31
C0495172	639.4	O08.5	639	O08
C0263660	739.99	M00-M99.9	739	M00-M99
C0344456	194.0	C74.1	194	C74
C0156270	595.82	N30.4	595	N30
C0414040	945.6	Y55.5	945	Y55
C0023346	030.3	A30.3	030	A30
C0156147	555.1	K50.1	555	K50
C0155765	448	I78|I78.9	448	I78
C0156076	535.3	K29.2	535	K29
C0265780	748.5	Q33.3	748	Q33
C0221217	744.5	Q18.3	744	Q18
C0162164	746.02	Q22.1	746	Q22
C0345904	155.2	C22.9	155	C22
C0260823	V65.3	Z71.3	V65	Z71
C0153389	146.6	C10.2	146	C10
C0029741	728.3	M62.8	728	M62
C0158368	729.6	M79.5	729	M79
C0238425	282.62	D57.0	282	D57
