umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0028841	360.3|360.30	H44.4	360	H44
C0036323	120|120.9	B65|B65.9	120	B65
C0160728	902.5|902.50	S35.5	902	S35
C0266611	744.1	Q17.0	744	Q17
C0156756	646.6|646.60|646.63	O23	646	O23
C0153956	212.5	D15.2	212	D15
C0261517	870.5	Y60.6	870	Y60
C0155441	382.2	H66.2	382	H66
C0032989	651|651.9|651.90	O30|O30.9	651	O30
C0155145	372.1|372.10	H10.4	372	H10
C0270249	777.3	P78.2	777	P78
C0270109	767.7	P14.2	767	P14
C0006277	490	J40	490	J40
C0153428	152.2	C17.2	152	C17
C0002879	283|283.9	D59|D59.9	283	D59
C0414055	946.4	Y56.4	946	Y56
C0018948	621.4	N85.7	621	N85
C0153434	153.1	C18.4	153	C18
C0264913	426.2	I44.5	426	I44
C0002871	285.9	D64.9	285	D64
C0155851	478.4	J38.1	478	J38
C0341950	642.5	O14.1	642	O14
C0311335	345.3	G41.0	345	G41
C0477976	742.8	Q07|Q07.8	742	Q07
C0161336	948.3	T31.3	948	T31
C0156347	617.5	N80.5	617	N80
C0021092	380.4	H61.2	380	H61
C1879328	369.00	H54.0	369	H54
C0012546	032|032.9	A36|A36.9	032	A36
C0496892	223.0	D30.0	223	D30
C0153218	098.52	M73.0	098	M73
C0037944	724.00	M48.0	724	M48
C0155814	464.3	J05.1	464	J05
C1306503	756.72	Q79.2	756	Q79
C0265908	747.31	Q25.5	747	Q25
C0151526	644.2	O60	644	O60
C0019338	074.0	B08.5	074	B08
C0032273	505	J64	505	J64
C0155711	429	I51	429	I51
C0263518	704.02	L65.0	704	L65
C0161833	998.7	T81.6	998	T81
C0041672	300.82	F45.1	300	F45
C0271903	281.9	D50-D53.9	281	D50-D53
C0022573	370.40	H16.2	370	H16
C0032371	045|045.9	A80|A80.9	045	A80
C0029670	205.8	C92.7	205	C92
C0478874	884|884.9	W17	884	W17
C0003534	379.31	H27.0	379	H27
C0154840	362.34	H34.0	362	H34
C0160977	927.10	S57|S57.9	927	S57
C0005122	265.0	E51.1	265	E51
C0275874	090.6	A50.6	090	A50
C2720434	742.4	Q04.5	742	Q04
C0008049	052|052.9	B01	052	B01
C0017979	791.5	R81	791	R81
C0158611	746	Q24	746	Q24
C0414054	946.3	Y56.3	946	Y56
C0153459	157.1	C25.1	157	C25
C0495170	639.5	O08.3	639	O08
C0154906	363.8	H31	363	H31
C0569621	940|940.9	Y50.9	940	Y50
C0021807	695.89	L30.4	695	L30
C0152249	706.0	L70.2	706	L70
C0155686	422|422.90	I40|I40.9	422	I40
C0155862	481|482.3|482.30	J13	481|482	J13
C0159667	811	S42.1	811	S42
C0269807	659.0	O61.1	659	O61
C0161502	961.5	T37.3	961	T37
C0554123	550.10	K40.3	550	K40
C0025229	025	A24.4	025	A24
C0848548	403.9	I12	403	I12
C0153668	196.0	C77.0	196	C77
C0155840	478.0	J34.3	478	J34
C0161641	976.1	T49.1	976	T49
C2939157	366.12	H25.0	366	H25
C0029603	958.8	T79.8	958	T79
C0497076	944.5	Y54.6	944	Y54
C0017327	440.9	I70.9	440	I70
C0477869	671.84	O87.8	671	O87
C0264134	735.2	M20.2	735	M20
